W,-2226,-2225,-2224,-2223,-2222,-2221,-2220,-2219,-2218,-2217,-2216,-2215,-2214,-2213,-2212,-2211,-2210,-2209,-2208,-2207,-2206,-2205,-2204,-2203,-2202,-2201,-2200,-2199,-2198,-2197,-2196,-2195,-2194,-2193,-2192,-2191,-2190,-2189,-2188,-2187,-2186,-2185,-2184,-2183,-2182,-2181,-2180,-2179,-2178,-2177,-2176,-2175,-2174,-2173,-2172,-2171,-2170,-2169,-2168,-2167,-2166,-2165,-2164,-2163,-2162,-2161,-2160,-2159,-2158,-2157,-2156,-2155,-2154,-2153,-2152,-2151,-2150,-2149,-2148,-2147,-2146,-2145,-2144,-2143,-2142,-2141,-2140,-2139,-2138,-2137,-2136,-2135,-2134,-2133,-2132,-2131,-2130,-2129,-2128,-2127,-2126,-2125,-2124,-2123,-2122,-2121,-2120,-2119,-2118,-2117,-2116,-2115,-2114,-2113,-2112,-2111,-2110,-2109,-2108,-2107,-2106,-2105,-2104,-2103,-2102,-2101,-2100,-2099,-2098,-2097,-2096,-2095,-2094,-2093,-2092,-2091,-2090,-2089,-2088,-2087
31,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B5,B5,B5,B5,B5,B5,B5,B5,W,W,B6,B6,B6,B6,B6,B6,B6,B6,W,,,,,,W,C4,C4,C4,C4,C4,C4,C4,C4,C4,W,W,E1,E1,E1,E1,E1,E1,W,,,,W,F1,F1,F1,F1,W,,,,,,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,W,I3,I3,I3,I3,I3,W,,,,,,,W,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,W,W,,,,W,L2,L2,L2,L2,L2,L2,L2,L2,W,,,,W
32,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B5,B5,B5,B5,B5,B5,B5,B5,W,W,B6,B6,B6,B6,B6,B6,B6,B6,W,,,,,,W,W,W,W,W,C4,C4,C4,C4,C4,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,W,,,,,,H2,H2,H2,H2,H2,H2,H2,H2,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,L2,L2,L2,L2,L2,L2,L2,L2,L2,W,,,,W
33,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B5,B5,B5,B5,B5,B5,B5,B5,W,W,B6,B6,B6,B6,B6,B6,B6,B6,W,,,,,,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,W,W,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I2A,I2A,I2A,I2A,W,I2,I2,I2,I2,I2,W,,,,,,,W,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,W,W,,,,W,L2,L2,L2,L2,L2,L2,L2,L2,W,,,,W
34,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B5,B5,B5,B5,B5,B5,B5,B5,W,W,B6,B6,B6,B6,B6,B6,B6,B6,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,D3,D3,D3,D3,D3,W,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,W,,,,,,,,W,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I2A,I2A,I2A,I2A,W,I2,I2,I2,I2,I2,W,,,,,,,W,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,W,W,,,,W,L2,L2,L2,L2,L2,L2,L2,L2,W,,,,W
35,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,W,C3,C3,C3,C3,C3,C3,C3,C3,C3,W,D3,D3,D3,D3,D3,W,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,W,,,,,,,,W,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I2A,I2A,I2A,I2A,W,I2,I2,I2,I2,I2,W,,,,,,,W,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,W,W,,,,W,L2,L2,L2,L2,L2,L2,L2,L2,W,,,,W
36,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B2,B2,B2,B2,B2,B3,B3,B3,B3,B3,B3,W,B4,B4,B4,B4,B4,B4,W,,,,,,W,C3,C3,C3,C3,C3,C3,C3,C3,C3,W,D3,D3,D3,D3,D3,W,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,W,,,,,,,,W,W,W,W,W,W,,W,H2,W,H2,H2,H2,H2,H2,W,W,I2A,I2A,I2A,I2A,W,I2,I2,I2,I2,I2,W,,,,,,,W,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,W,W,,,,W,L2,L2,L2,L2,L2,L2,L2,L2,W,,,,W
37,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B2,B2,B2,B2,W,B3,B3,B3,B3,B3,B3,W,B4,B4,B4,B4,B4,B4,W,,,,,,W,C3,C3,C3,C3,C3,C3,C3,C3,C3,W,D3,D3,D3,D3,D3,W,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,W,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,I2A,I2A,I2A,I2A,I2A,I2,I2,I2,I2,I2,W,,,,,,,W,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,W,W,,,,W,W,W,W,W,W,W,W,W,W,,,,W
38,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,B2,B2,B2,B2,B2,W,B3,W,W,B3,W,B3,W,B4,W,B4,W,W,B4,W,,,,,,W,C3,C3,C3,C3,C3,C3,C3,C3,C3,W,D3,D3,D3,D3,D3,W,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,W,W,W,W,W,W,W,W,I2A,I2A,I2A,I2A,W,I2,I2,I2,I2,I2,W,,,,,,,W,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,K2,K2,,,,W,M1,M1,M1,M1,M1,M1,M1,M1,W,,,,W
39,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B2,B2,B2,B2,W,B3,B3,W,B3,W,B3,W,B4,W,B4,W,B4,B4,W,,,,,,W,W,W,W,W,C3,C3,C3,C3,C3,W,D3,D3,D3,D3,D3,W,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,W,H1A,H1A,H1A,H1A,W,W,W,I2A,I2A,I2A,I2A,W,I2,I2,I2,I2,I2,W,,,,,,,W,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,W,W,,,,W,M1,M1,M1,M1,M1,M1,M1,M1,W,,,,W
40,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,W,W,W,W,W,W,W,W,B3,W,W,W,W,W,B4,W,W,W,W,,,,,,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,W,D3,D3,D3,D3,D3,W,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,W,H1A,H1A,H1A,H1A,W,W,W,I2A,I2A,I2A,I2A,W,I2,I2,I2,I2,I2,I2,,,,,,,J2,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,W,W,,,,W,M1,M1,M1,M1,M1,M1,M1,M1,W,,,,W
41,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,D3,D3,D3,D3,D3,W,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,W,W,H1A,H1A,H1A,W,W,W,I2A,I2A,I2A,I2A,W,I2,I2,I2,I2,I2,W,,,,,,,W,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,W,W,,,,W,M1,M1,M1,M1,M1,M1,M1,M1,W,,,,W
42,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C2,C2,C2,C2,C2,C2,C2,C2,C2,W,D3,D3,D3,D3,D3,W,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,W,W,H1A,H1A,H1A,W,W,W,I2A,I2A,I2A,I2A,W,I2,I2,I2,I2,I2,W,,,,,,,W,J2,J2,J2,J2,J2,W,K2,K2,K2,K2,W,W,,,,W,M1,M1,M1,M1,M1,M1,M1,M1,M1,,,,W
43,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C2,C2,C2,C2,C2,C2,C2,C2,C2,W,D3,D3,W,W,W,W,W,W,W,W,D4,D4,W,W,W,W,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,W,W,H1A,H1A,H1A,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,W,M1,M1,M1,M1,M1,M1,M1,M1,W,,,,W
44,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C2,C2,C2,C2,C2,C2,C2,C2,C2,W,,,,,,,,,,,,,W,W,W,W,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,W,H1A,H1A,H1A,H1A,W,W,W,I1A,I1A,I1A,I1A,W,I1,I1,I1,I1,I1,W,,,,,,,W,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,W,W,,,,W,M1,M1,M1,M1,M1,M1,M1,M1,W,,,,W
45,,W,A3,A3,A3,A3,A3,A3,A3,A3,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C2,C2,C2,C2,C2,C2,C2,C2,C2,W,,,,,,,,,,,,,D2,D2,D2,D2,W,,,,,,,,H1,H1,H1,H1,H1,H1,H1,H1,H1,W,H1A,H1A,H1A,H1A,H1A,W,W,I1A,I1A,I1A,I1A,W,I1,I1,I1,I1,I1,W,,,,,,,W,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,W,W,,,,W,M1,M1,M1,M1,M1,M1,M1,M1,W,,,,W
46,,W,W,W,W,W,W,W,W,W,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,W,W,W,W,W,C2,C2,C2,C2,C2,W,,,,,,,,,,,,,W,D2,D2,D2,W,,,,,,,,H1,H1,H1,H1,H1,H1,H1,H1,H1,W,H1A,H1A,H1A,H1A,H1A,W,W,I1A,I1A,I1A,I1A,W,I1,I1,I1,I1,I1,W,,,,,,,W,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,W,W,,,,W,W,W,W,W,W,W,W,W,W,,,,W
47,,W,A2,A2,A2,A2,A2,A2,A2,A2,W,,,,,,W,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,W,,,,,,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,W,,,,,,,,,,,,,W,D2,D2,D2,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,W,W,W,W,H1A,W,W,W,I1A,I1A,I1A,I1A,W,I1,I1,I1,I1,I1,W,,,,,,,W,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,W,W,,,,W,L1,L1,L1,L1,L1,L1,L1,L1,W,,,,W
48,,W,A2,A2,A2,A2,A2,A2,A2,A2,W,,,,,,W,B1,W,B1,B1,W,B1,B1,W,B1,B1,W,B1,B1,W,B1,B1,W,B1,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,W,D2,D2,D2,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,W,W,I1A,I1A,I1A,I1A,W,I1,I1,I1,I1,I1,W,,,,,,,W,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,W,W,,,,W,L1,L1,L1,L1,L1,L1,L1,L1,W,,,,W
49,,W,A2,A2,A2,A2,A2,A2,A2,A2,A2,,,,,,W,B1,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,B1,W,,,,,,W,C1,C1,C1,C1,C1,C1,C1,C1,C1,W,,,,,,,,,,,,,W,W,W,W,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,W,W,I1A,I1A,I1A,I1A,I1A,I1,I1,I1,I1,I1,W,,,,,,,W,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,K1,K1,,,,W,L1,L1,L1,L1,L1,L1,L1,L1,W,,,,W
50,,W,A2,A2,A2,A2,A2,A2,A2,A2,A2,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,,,,,,W,C1,C1,C1,C1,C1,C1,C1,C1,C1,W,,,,,,,,,,,,,D1,D1,D1,D1,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,W,W,I1A,I1A,I1A,I1A,W,I1,I1,I1,I1,I1,W,,,,,,,W,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,W,W,,,,L1,L1,L1,L1,L1,L1,L1,L1,L1,W,,,,W
51,,W,A2,A2,A2,A2,A2,A2,A2,A2,A2,,,,,,W,B1,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,B1,W,,,,,,W,C1,C1,C1,C1,C1,C1,C1,C1,C1,W,,,,,,,,,,,,,W,D1,D1,D1,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,W,W,I1A,I1A,I1A,I1A,W,I1,I1,I1,I1,I1,I1,,,,,,,J1,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,W,W,,,,W,L1,L1,L1,L1,L1,L1,L1,L1,W,,,,W
52,,W,A2,A2,A2,A2,A2,A2,A2,A2,A2,,,,,,W,B1,W,B1,B1,W,B1,B1,W,B1,B1,W,B1,B1,W,B1,B1,W,B1,W,,,,,,W,W,W,W,W,C1,C1,C1,C1,C1,W,,,,,,,,,,,,,W,D1,D1,D1,W,W,,,,,,W,W,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,W,W,I1A,I1A,I1A,I1A,W,I1,I1,I1,I1,I1,W,,,,,,,W,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,W,W,,,,W,L1,L1,L1,L1,L1,L1,L1,L1,W,,,,W
53,,W,A2,A2,A2,A2,A2,A2,A2,A2,A2,,,,,,W,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,W,,,,,,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,W,,,,,,,,,,,,,W,D1,D1,D1,W,,,,,,,,W,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,W,W,I1A,I1A,I1A,I1A,W,I1,I1,I1,I1,I1,W,,,,,,,W,J1,J1,J1,J1,J1,W,K1,K1,K1,K1,W,W,,,,W,L1,L1,L1,L1,L1,L1,L1,L1,W,,,,W
54,,W,A2,A2,A2,A2,A2,A2,A2,A2,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,W,W,W,W,W,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,H1,H1,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,W,W,W,W,W,W,W,W,W,W,,,,W
55,,W,A2,A2,A2,A2,A2,A2,A2,A2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
56,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
57,,W,A1,A1,A1,A1,A1,A1,A1,A1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
58,,W,A1,A1,A1,A1,A1,A1,A1,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
59,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
60,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,SB,SB,SB,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,SC,SC,W,SC,SC,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,SA,SA,SA,SA,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
61,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
62,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
63,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,SB,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
64,,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,SC,SC,SC,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
